doi,title_similarity,title_sim_ok,year_pool,year_task,year_match,journal_pool,journal_task,journal_match,source,source_id
10.1001/jamainternmed.2023.8232,1.0,1,2024,2024,1,JAMA internal medicine,JAMA internal medicine,1,pubmed,38436976
10.1002/clc.70016,1.0,1,2024,2024,1,Clinical cardiology,Clinical cardiology,1,pubmed,39267429
10.1002/jgh3.70194,1.0,1,2025,2025,1,JGH open : an open access journal of gastroenterology and hepatology,JGH open : an open access journal of gastroenterology and hepatology,1,pubmed,40786130
10.1007/s00330-025-11965-8,1.0,1,2025,2025,1,European radiology,European radiology,1,pubmed,40875017
10.1007/s00402-024-05675-x,1.0,1,2024,2024,1,Archives of orthopaedic and trauma surgery,Archives of orthopaedic and trauma surgery,1,pubmed,39714529
10.1007/s12325-023-02732-6,1.0,1,2024,2024,1,Advances in therapy,Advances in therapy,1,pubmed,38169057
10.1016/j.ahj.2024.03.009,1.0,1,2024,2024,1,American heart journal,American heart journal,1,pubmed,38705637
10.1016/j.carrev.2023.12.011,1.0,1,2024,2024,1,Cardiovascular revascularization medicine : including molecular interventions,Cardiovascular revascularization medicine : including molecular interventions,1,pubmed,38176962
10.1016/j.cpcardiol.2024.102420,1.0,1,2024,2024,1,Current problems in cardiology,Current problems in cardiology,1,pubmed,38290623
10.1016/j.ejso.2025.110300,1.0,1,2025,2025,1,European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology,European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology,1,pubmed,40651451
10.1016/j.gassur.2024.10.007,1.0,1,2025,2025,1,Journal of gastrointestinal surgery : official journal of the Society for Surgery of the Alimentary Tract,Journal of gastrointestinal surgery : official journal of the Society for Surgery of the Alimentary Tract,1,pubmed,39406295
10.1016/j.ijcard.2024.132707,1.0,1,2025,2025,1,International journal of cardiology,International journal of cardiology,1,pubmed,39515614
10.1016/j.rpth.2024.102613,1.0,1,2024,2024,1,Research and practice in thrombosis and haemostasis,Research and practice in thrombosis and haemostasis,1,pubmed,39698185
10.1016/j.thromres.2024.02.022,1.0,1,2024,2024,1,Thrombosis research,Thrombosis research,1,pubmed,38422981
10.1097/js9.0000000000001307,1.0,1,2024,2024,1,"International journal of surgery (London, England)","International journal of surgery (London, England)",1,pubmed,38549227
10.1111/ijn.13301,1.0,1,2024,2024,1,International journal of nursing practice,International journal of nursing practice,1,pubmed,39225710
10.1111/j.1445-5994.1993.tb04719.x,1.0,1,1993,1993,1,Australian and New Zealand journal of medicine,Australian and New Zealand journal of medicine,1,pubmed,8141690
10.1177/02683555251358915,1.0,1,2025,2025,1,Phlebology,Phlebology,1,pubmed,40670297
10.1177/11297298231218468,1.0,1,2025,2025,1,The journal of vascular access,The journal of vascular access,1,pubmed,38166435
10.1177/19714009251360558,1.0,1,2025,2025,1,The neuroradiology journal,The neuroradiology journal,1,pubmed,40653381
10.12669/pjms.41.4.10465,1.0,1,2025,2025,1,Pakistan journal of medical sciences,Pakistan journal of medical sciences,1,pubmed,40290233
10.20452/wiitm.2025.17929,1.0,1,2025,2025,1,Wideochirurgia i inne techniki maloinwazyjne = Videosurgery and other miniinvasive techniques,Wideochirurgia i inne techniki maloinwazyjne = Videosurgery and other miniinvasive techniques,1,pubmed,40547829
10.3310/awtw6200,1.0,1,2024,2024,1,"Health technology assessment (Winchester, England)","Health technology assessment (Winchester, England)",1,pubmed,38634415
10.3390/nursrep14010035,1.0,1,2024,2024,1,"Nursing reports (Pavia, Italy)","Nursing reports (Pavia, Italy)",1,pubmed,38391080
10.7326/0003-4819-122-1-199501010-00008,1.0,1,1995,1995,1,Annals of internal medicine,Annals of internal medicine,1,pubmed,7985896
