query_id,mode,tp,fp,fn,precision,recall,f1,pred_factor_count,gold_factor_count,cited_doi_count,gold_doi_count,pred_factors,gold_factors,matched_factors
thrombosis_q001,rag_hyde,4,1,0,0.8,1.0,0.888888888888889,5,4,1,1,catheter|catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis
thrombosis_q002,rag_hyde,4,1,0,0.8,1.0,0.888888888888889,5,4,1,1,catheter|catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis
thrombosis_q003,rag_hyde,4,1,0,0.8,1.0,0.888888888888889,5,4,2,1,catheter|catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis
thrombosis_q006,rag_hyde,1,3,0,0.25,1.0,0.4,4,1,2,1,cancer|ck elevation|neutropenia|thromboembolism,thromboembolism,thromboembolism
thrombosis_q007,rag_hyde,2,5,0,0.2857142857142857,1.0,0.4444444444444445,7,2,4,3,age|anticoagulation|diabetes|infection|obesity|surgery|thromboembolism,anticoagulation|surgery,anticoagulation|surgery
thrombosis_q008,rag_hyde,2,2,0,0.5,1.0,0.6666666666666666,4,2,1,1,anticoagulation|infection|obesity|surgery,anticoagulation|infection,anticoagulation|infection
thrombosis_q009,rag_hyde,2,2,0,0.5,1.0,0.6666666666666666,4,2,1,1,anticoagulation|infection|obesity|surgery,anticoagulation|infection,anticoagulation|infection
thrombosis_q013,rag_hyde,3,3,0,0.5,1.0,0.6666666666666666,6,3,1,1,anticoagulation|catheter|catheter directed thrombolysis|major bleeding|systemic thrombolysis|ultrasound assisted thrombolysis,catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis,catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis
thrombosis_q014,rag_hyde,3,2,0,0.6,1.0,0.7499999999999999,5,3,2,2,anticoagulation|catheter|catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis,catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis,catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis
thrombosis_q015,rag_hyde,1,3,0,0.25,1.0,0.4,4,1,2,1,anticoagulation|catheter|catheter directed thrombolysis|systemic thrombolysis,catheter directed thrombolysis,catheter directed thrombolysis
thrombosis_q021,rag_hyde,4,1,0,0.8,1.0,0.888888888888889,5,4,1,1,catheter|catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis
thrombosis_q022,rag_hyde,3,4,0,0.42857142857142855,1.0,0.6,7,3,3,2,anticoagulation|cancer|cardiovascular risk|ck elevation|neutropenia|thromboembolism|trauma,anticoagulation|thromboembolism|trauma,anticoagulation|thromboembolism|trauma
thrombosis_q024,rag_hyde,2,4,0,0.3333333333333333,1.0,0.5,6,2,2,2,age|anticoagulation|catheter|catheter directed thrombolysis|major bleeding|systemic thrombolysis,catheter|catheter directed thrombolysis,catheter|catheter directed thrombolysis
thrombosis_q025,rag_hyde,3,0,0,1.0,1.0,1.0,3,3,2,2,liver cirrhosis|portal vein resection|right hepatectomy,liver cirrhosis|portal vein resection|right hepatectomy,liver cirrhosis|portal vein resection|right hepatectomy
