query_id,mode,tp,fp,fn,precision,recall,f1,pred_factor_count,gold_factor_count,cited_doi_count,gold_doi_count,pred_factors,gold_factors,matched_factors
thrombosis_q001,rag_no_hyde,4,1,0,0.8,1.0,0.888888888888889,5,4,1,1,catheter|catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis
thrombosis_q002,rag_no_hyde,4,1,0,0.8,1.0,0.888888888888889,5,4,1,1,catheter|catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis
thrombosis_q003,rag_no_hyde,5,0,1,1.0,0.8333333333333334,0.9090909090909091,5,6,3,2,catheter|catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter|catheter dislodgement|catheter infiltration|catheter occlusion|thromboembolism|thrombophlebitis,catheter|catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis
thrombosis_q004,rag_no_hyde,2,0,0,1.0,1.0,1.0,2,2,2,1,anticoagulation|thromboembolism,anticoagulation|thromboembolism,anticoagulation|thromboembolism
thrombosis_q007,rag_no_hyde,3,1,0,0.75,1.0,0.8571428571428571,4,3,3,3,age|anticoagulation|infection|surgery,anticoagulation|infection|surgery,anticoagulation|infection|surgery
thrombosis_q008,rag_no_hyde,4,3,0,0.5714285714285714,1.0,0.7272727272727273,7,4,3,2,anticoagulation|cancer|infection|major bleeding|obesity|surgery|thromboembolism,anticoagulation|cancer|infection|thromboembolism,anticoagulation|cancer|infection|thromboembolism
thrombosis_q009,rag_no_hyde,2,2,0,0.5,1.0,0.6666666666666666,4,2,1,1,anticoagulation|infection|obesity|surgery,anticoagulation|infection,anticoagulation|infection
thrombosis_q013,rag_no_hyde,3,3,0,0.5,1.0,0.6666666666666666,6,3,3,3,anticoagulation|catheter|catheter directed thrombolysis|major bleeding|systemic thrombolysis|ultrasound assisted thrombolysis,catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis,catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis
thrombosis_q014,rag_no_hyde,3,2,0,0.6,1.0,0.7499999999999999,5,3,2,2,anticoagulation|catheter|catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis,catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis,catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis
thrombosis_q015,rag_no_hyde,1,4,0,0.2,1.0,0.33333333333333337,5,1,2,2,anticoagulation|catheter|catheter directed thrombolysis|major bleeding|systemic thrombolysis,catheter directed thrombolysis,catheter directed thrombolysis
thrombosis_q016,rag_no_hyde,2,1,0,0.6666666666666666,1.0,0.8,3,2,2,1,age|catheter|catheter directed thrombolysis,catheter|catheter directed thrombolysis,catheter|catheter directed thrombolysis
thrombosis_q021,rag_no_hyde,5,0,2,1.0,0.7142857142857143,0.8333333333333333,5,7,3,3,catheter|catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter|catheter dislodgement|catheter infiltration|catheter occlusion|infection|thromboembolism|thrombophlebitis,catheter|catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis
thrombosis_q024,rag_no_hyde,3,2,0,0.6,1.0,0.7499999999999999,5,3,2,2,anticoagulation|catheter|catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis,catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis,catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis
thrombosis_q025,rag_no_hyde,3,2,0,0.6,1.0,0.7499999999999999,5,3,2,1,liver cirrhosis|portal vein resection|pregnancy postpartum|right hepatectomy|surgery,liver cirrhosis|portal vein resection|right hepatectomy,liver cirrhosis|portal vein resection|right hepatectomy
