query_id,mode,tp,fp,fn,precision,recall,f1,pred_factor_count,gold_factor_count,cited_doi_count,gold_doi_count,pred_factors,gold_factors,matched_factors
thrombosis_q001,rag_hyde,4,1,0,0.8,1.0,0.888888888888889,5,4,1,1,catheter|catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis
thrombosis_q002,rag_hyde,4,1,0,0.8,1.0,0.888888888888889,5,4,1,1,catheter|catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis
thrombosis_q003,rag_hyde,4,1,0,0.8,1.0,0.888888888888889,5,4,2,1,catheter|catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis
thrombosis_q006,rag_hyde,1,3,0,0.25,1.0,0.4,4,1,2,1,cancer|ck elevation|neutropenia|thromboembolism,thromboembolism,thromboembolism
thrombosis_q007,rag_hyde,1,2,1,0.3333333333333333,0.5,0.4,3,2,1,1,age|anticoagulation|infection,anticoagulation|surgery,anticoagulation
thrombosis_q008,rag_hyde,2,2,0,0.5,1.0,0.6666666666666666,4,2,1,1,anticoagulation|infection|obesity|surgery,anticoagulation|infection,anticoagulation|infection
thrombosis_q009,rag_hyde,2,2,0,0.5,1.0,0.6666666666666666,4,2,1,1,anticoagulation|infection|obesity|surgery,anticoagulation|infection,anticoagulation|infection
thrombosis_q012,rag_hyde,2,1,2,0.6666666666666666,0.5,0.5714285714285715,3,4,2,1,anticoagulation|catheter|major bleeding,anticoagulation|catheter|ckd|systemic thrombolysis,anticoagulation|catheter
thrombosis_q013,rag_hyde,3,3,0,0.5,1.0,0.6666666666666666,6,3,1,1,anticoagulation|catheter|catheter directed thrombolysis|major bleeding|systemic thrombolysis|ultrasound assisted thrombolysis,catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis,catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis
thrombosis_q014,rag_hyde,3,2,0,0.6,1.0,0.7499999999999999,5,3,2,2,anticoagulation|catheter|catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis,catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis,catheter directed thrombolysis|major bleeding|ultrasound assisted thrombolysis
thrombosis_q015,rag_hyde,1,4,0,0.2,1.0,0.33333333333333337,5,1,2,2,anticoagulation|catheter|catheter directed thrombolysis|major bleeding|systemic thrombolysis,catheter directed thrombolysis,catheter directed thrombolysis
thrombosis_q021,rag_hyde,4,1,0,0.8,1.0,0.888888888888889,5,4,1,1,catheter|catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis,catheter dislodgement|catheter infiltration|catheter occlusion|thrombophlebitis
thrombosis_q022,rag_hyde,1,4,0,0.2,1.0,0.33333333333333337,5,1,2,1,anticoagulation|cancer|ck elevation|neutropenia|thromboembolism,anticoagulation,anticoagulation
thrombosis_q024,rag_hyde,4,3,0,0.5714285714285714,1.0,0.7272727272727273,7,4,3,3,anticoagulation|catheter|catheter directed thrombolysis|major bleeding|surgery|systemic thrombolysis|ultrasound assisted thrombolysis,catheter directed thrombolysis|major bleeding|surgery|ultrasound assisted thrombolysis,catheter directed thrombolysis|major bleeding|surgery|ultrasound assisted thrombolysis
thrombosis_q025,rag_hyde,3,0,0,1.0,1.0,1.0,3,3,2,2,liver cirrhosis|portal vein resection|right hepatectomy,liver cirrhosis|portal vein resection|right hepatectomy,liver cirrhosis|portal vein resection|right hepatectomy
