query_id,retrieval_mode,retrieved_count,judged_relevant_count,mrr,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10
thrombosis_q001,direct,15,8,0.5,0.4,0.25,0.3318562444770065,0.5,0.625,0.4931644366740174
thrombosis_q001,hyde,18,8,0.5,0.8,0.5,0.5162274965096612,0.6,0.75,0.5370092818377816
thrombosis_q002,direct,16,8,0.5,0.4,0.25,0.2964428357775808,0.5,0.625,0.43880420351287275
thrombosis_q002,hyde,17,8,1.0,0.6,0.375,0.34583767333988835,0.5,0.625,0.46200200861297225
thrombosis_q003,direct,16,9,1.0,0.8,0.4444444444444444,0.6469743691466233,0.8,0.8888888888888888,0.7708333419886776
thrombosis_q003,hyde,16,9,1.0,1.0,0.5555555555555556,0.8436681337583958,0.6,0.6666666666666666,0.7569949625323339
thrombosis_q004,direct,23,18,1.0,0.4,0.1111111111111111,0.28263350439468005,0.5,0.2777777777777778,0.27795993115151113
thrombosis_q004,hyde,20,18,1.0,0.8,0.2222222222222222,0.5453092190767764,0.7,0.3888888888888889,0.5788971518651471
thrombosis_q005,direct,21,12,1.0,0.6,0.25,0.6548086577531306,0.7,0.5833333333333334,0.7340880237252037
thrombosis_q005,hyde,18,12,1.0,1.0,0.4166666666666667,0.7895676983469901,0.6,0.5,0.7008642584274692
thrombosis_q006,direct,25,20,0.16666666666666666,0.0,0.0,0.0,0.2,0.1,0.05560589900892961
thrombosis_q006,hyde,23,20,0.5,0.8,0.2,0.5634608948312462,0.6,0.3,0.5402891378794668
thrombosis_q007,direct,22,17,1.0,0.6,0.17647058823529413,0.5565573100278318,0.4,0.23529411764705882,0.4240128144284114
thrombosis_q007,hyde,22,17,1.0,0.6,0.17647058823529413,0.3835663673713356,0.4,0.23529411764705882,0.34503700737984433
thrombosis_q008,direct,21,17,1.0,0.6,0.17647058823529413,0.5968814958455909,0.6,0.35294117647058826,0.6037103027878036
thrombosis_q008,hyde,21,17,1.0,0.6,0.17647058823529413,0.5565573100278318,0.7,0.4117647058823529,0.5484539179079596
thrombosis_q009,direct,16,9,1.0,0.6,0.3333333333333333,0.7479266229999318,0.3,0.3333333333333333,0.6332274643277988
thrombosis_q009,hyde,18,9,1.0,0.4,0.2222222222222222,0.6785815599127776,0.3,0.3333333333333333,0.6136572742797419
thrombosis_q010,direct,22,11,1.0,1.0,0.45454545454545453,0.9125299483251055,0.7,0.6363636363636364,0.8310157636221666
thrombosis_q010,hyde,21,11,1.0,0.4,0.18181818181818182,0.5531464700081437,0.2,0.18181818181818182,0.46863653747346656
thrombosis_q011,direct,19,13,1.0,0.8,0.3076923076923077,0.7214696044146649,0.6,0.46153846153846156,0.7385020277809266
thrombosis_q011,hyde,22,13,1.0,0.6,0.23076923076923078,0.7012869951253081,0.3,0.23076923076923078,0.5855686308024465
thrombosis_q012,direct,22,12,1.0,0.2,0.08333333333333333,0.33916020527361607,0.4,0.3333333333333333,0.4715635368519978
thrombosis_q012,hyde,23,12,1.0,0.4,0.16666666666666666,0.5531464700081437,0.3,0.25,0.4656926005948558
thrombosis_q013,direct,23,11,1.0,0.6,0.2727272727272727,0.6548086577531306,0.6,0.5454545454545454,0.6182990922308096
thrombosis_q013,hyde,22,11,1.0,0.6,0.2727272727272727,0.6399453854227659,0.4,0.36363636363636365,0.5033710175606891
thrombosis_q014,direct,23,18,0.5,0.8,0.2222222222222222,0.5477863929685118,0.6,0.3333333333333333,0.5201530254608075
thrombosis_q014,hyde,23,18,0.3333333333333333,0.6,0.16666666666666666,0.35938347831696177,0.6,0.3333333333333333,0.4103837294298636
thrombosis_q015,direct,24,21,1.0,0.8,0.19047619047619047,0.6534081967245269,0.9,0.42857142857142855,0.6679221691738018
thrombosis_q015,hyde,24,21,1.0,0.4,0.09523809523809523,0.38289523111106333,0.6,0.2857142857142857,0.45638843936572165
thrombosis_q016,direct,22,9,1.0,0.4,0.2222222222222222,0.6844257426140997,0.4,0.4444444444444444,0.6517542416904278
thrombosis_q016,hyde,20,9,1.0,0.6,0.3333333333333333,0.7943233365467345,0.3,0.3333333333333333,0.6284563126046677
thrombosis_q017,direct,16,10,1.0,0.4,0.2,0.6844257426140997,0.4,0.4,0.6161974870756516
thrombosis_q017,hyde,18,10,1.0,0.8,0.4,0.8724997542842517,0.5,0.5,0.7039890606343315
thrombosis_q018,direct,18,11,1.0,0.4,0.18181818181818182,0.3956869061525521,0.5,0.45454545454545453,0.5408682123610611
thrombosis_q018,hyde,20,11,1.0,0.6,0.2727272727272727,0.4443763561001209,0.6,0.5454545454545454,0.5864512736033938
thrombosis_q019,direct,23,16,1.0,0.8,0.25,0.7330409974680542,0.6,0.375,0.5904920397928339
thrombosis_q019,hyde,25,16,1.0,1.0,0.3125,0.9026211001048622,0.6,0.375,0.6372209735131388
thrombosis_q020,direct,24,21,1.0,0.6,0.14285714285714285,0.6096731708870796,0.7,0.3333333333333333,0.6389143253875903
thrombosis_q020,hyde,25,21,1.0,1.0,0.23809523809523808,0.8869465982421278,0.9,0.42857142857142855,0.7227712329561915
thrombosis_q021,direct,15,9,0.5,0.4,0.2222222222222222,0.27051296561346355,0.5,0.5555555555555556,0.3991075669943762
thrombosis_q021,hyde,17,9,0.5,0.8,0.4444444444444444,0.3176588314705989,0.7,0.7777777777777778,0.4993501430981827
thrombosis_q022,direct,24,21,1.0,0.4,0.09523809523809523,0.2591217516005785,0.4,0.19047619047619047,0.3038377318600771
thrombosis_q022,hyde,24,21,1.0,0.6,0.14285714285714285,0.6843515475204854,0.5,0.23809523809523808,0.5396613060762581
thrombosis_q023,direct,18,10,1.0,0.6,0.3,0.6018359199557124,0.5,0.5,0.6240730450080895
thrombosis_q023,hyde,20,10,1.0,0.6,0.3,0.6096731708870796,0.5,0.5,0.6425236861787712
thrombosis_q024,direct,23,18,1.0,0.8,0.2222222222222222,0.7429498456882974,0.8,0.4444444444444444,0.659597006753779
thrombosis_q024,hyde,23,18,0.5,0.4,0.1111111111111111,0.3451913422468693,0.5,0.2777777777777778,0.3341657315653769
thrombosis_q025,direct,19,13,1.0,0.6,0.23076923076923078,0.5565573100278318,0.6,0.46153846153846156,0.6291121640270948
thrombosis_q025,hyde,21,13,1.0,0.6,0.23076923076923078,0.5565573100278318,0.7,0.5384615384615384,0.7117087378336987
